Dealy,Attempt Number,Spark,MapReduce
Carrier,1,0.143520832061767,10.45
Carrier,2,0.159172773361206,9.74
Carrier,3,0.158808708190917,9.35
Carrier,4,0.141044378280639,9.31
Carrier,5,0.161394119262695,9.98
NAS,1,0.191191673278808,10.06
NAS,2,0.217852354049682,9.75
NAS,3,0.180478811264038,9.27
NAS,4,0.168832063674926,9.87
NAS,5,0.212284088134765,9.36
weather,1,0.144298791885375,9.31
weather,2,0.160138130187988,9.63
weather,3,0.213610649108886,10.17
weather,4,0.166608572006225,9.94
weather,5,0.139728546142578,9.43
Late Aircraft,1,0.165054321289062,10.05
Late Aircraft,2,0.142560005187988,10.02
Late Aircraft,3,0.134402751922607,10.09
Late Aircraft,4,0.176739931106567,9.86
Late Aircraft,5,0.160566568374633,10.16
Security,1,0.202314615249633,9.75
Security,2,0.160398244857788,10.3
Security,3,0.140587806701660,9.75
Security,4,0.148926496505737,9.91
Security,5,0.139562368392944,9.78
